sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,sourceStatus,published,titleEn,categoryId,materialIds,gsmOrThickness,applications
"KH-CG-EFLUTE-E-MC-034","paper-insert","paper-insert-e-250g-e-pe-coating-e-flute","representative","representative","kh-paper-insert-family-representative","pending","false","E Flute Corrugated Paper","corrugated-fluted-paper-series","white-cardboard; food-grade-kraft-paper; fluted-paper","250g 白卡 + E 坑","彩盒、坑盒、内托"
"KH-CG-FFLUTE-F-MC-035","paper-insert","paper-insert-f-300g-f-pe-coating-f-flute","representative","representative","kh-paper-insert-family-representative","pending","false","F Flute Corrugated Paper","corrugated-fluted-paper-series","white-cardboard; food-grade-kraft-paper; fluted-paper","300g 白卡 + F 坑","精品盒、内托、缓冲片"
"KH-CG-GFLUTE-G-MC-036","paper-insert","paper-insert-g-350g-g-pe-coating-g-flute","representative","representative","kh-paper-insert-family-representative","pending","false","G Flute Corrugated Paper","corrugated-fluted-paper-series","white-cardboard; specialty-paper; fluted-paper","350g 白卡 + G 坑","精品盒、纸内托"
"KH-CG-COLORF-E-DC-037","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-f-g-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending","false","Colored Corrugated Paper","corrugated-fluted-paper-series","colored-paper; coated-white-board; single-sided-kraft-paper; fluted-paper","彩纸 + E/F/G","彩色坑盒、纸托"
"KH-CG-BLACKF-F-DC-038","paper-insert","paper-insert-e-f-g-f-pe-coating-e-f-g-mixed","representative","representative","kh-paper-insert-family-representative","pending","false","Black Corrugated Paper","corrugated-fluted-paper-series","black-board; coated-white-board; single-sided-kraft-paper; fluted-paper","黑卡 + F 坑","高端坑盒、内托"
"KH-CG-WHITEF-E-MT-039","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending","false","White Corrugated Paper","corrugated-fluted-paper-series","white-cardboard; white-kraft-paper; coated-white-board; single-sided-kraft-paper; fluted-paper","白牛皮 + E 坑","白色坑盒、纸托"
"KH-CG-KFLUTE-E-MT-040","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-f-g-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending","false","Kraft Corrugated Paper","corrugated-fluted-paper-series","kraft-paper; coated-white-board; single-sided-kraft-paper; fluted-paper","白牛皮 + E/F/G","坑盒、托盘、隔板"
"KH-CG-BKFLUTE-F-MT-041","paper-insert","paper-insert-e-f-g-f-pe-coating-e-f-g-mixed","representative","representative","kh-paper-insert-family-representative","pending","false","Black Card Laminated Corrugated Paper","corrugated-fluted-paper-series","black-board; coated-white-board; single-sided-kraft-paper; fluted-paper","黑卡 + F 坑","高端内托、坑盒"
"KH-CG-WCFLUTE-E-MT-042","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-300g-e-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending","false","White Card Laminated Corrugated Paper","corrugated-fluted-paper-series","white-cardboard; coated-white-board; single-sided-kraft-paper; fluted-paper","300g 白卡 + E 坑","彩盒盒片、坑盒"
"KH-CG-SPFLUTE-G-MT-043","paper-insert","paper-insert-e-f-g-g-pe-coating-e-f-g-mixed","representative","representative","kh-paper-insert-family-representative","pending","false","Specialty Paper Laminated Corrugated Paper","corrugated-fluted-paper-series","specialty-paper; coated-white-board; single-sided-kraft-paper; fluted-paper","特种纸 + G 坑","高端盒片、内托"
"KH-CG-LOGOF-E-EM-044","corrugated-fluted-paper","corrugated-fluted-paper-150g-100g-pe-coating-logo-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending","false","Logo Embossed Corrugated Paper","corrugated-fluted-paper-series","white-cardboard; food-grade-kraft-paper; fluted-paper","面纸 150g + 芯纸 100g","品牌坑纸、盒片"
"KH-CG-SECFLUTE-F-AF-045","corrugated-fluted-paper","corrugated-fluted-paper-180g-100g-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending","false","Anti-counterfeit Corrugated Paper","corrugated-fluted-paper-series","composite-paper; fluted-paper","面纸 180g + 芯纸 100g","防伪坑盒、盒片"
"KH-CG-BOXFLUTE-E-CR-046","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-250g-e","representative","representative","kh-corrugated-family-representative","pending","false","Corrugated Box Semi-finished Sheet","corrugated-fluted-paper-series","white-cardboard; food-grade-kraft-paper; coated-white-board; single-sided-kraft-paper; fluted-paper","250g 白卡 + E 坑","包装盒盒片、折叠盒"
"KH-SP-GOLD-300-FG-047","paper-pad","paper-pad-300g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Gold Card Paper","specialty-paper-series","gold-board","300g","礼盒面纸、垫片、标签"
"KH-SP-SILVER-300-FS-048","paper-insert","paper-insert-300g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Silver Card Paper","specialty-paper-series","silver-board","300g","彩盒、标签、内托"
"KH-SP-LASER-250-UV-049","specialty-paper","specialty-paper-250g-pe-coating-uv","representative","representative","kh-specialty-family-representative","pending","false","Holographic Paper","specialty-paper-series","holographic-paper","250g","防伪包装、礼盒面纸"
"KH-SP-PEARL-230-LM-050","specialty-paper","specialty-paper-230g-pe-coating","representative","representative","kh-specialty-family-representative","pending","false","Pearlescent Paper","specialty-paper-series","pearlescent-paper","230g","礼盒、插卡、包装纸"
"KH-SP-BLACK-350-AS-051","paper-pad","paper-pad-350g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Black Card Paper","specialty-paper-series","black-board","350g","内托、包装盒、垫片"
"KH-SP-COLOR-250-DC-052","specialty-paper","specialty-paper-250g-pe-coating","representative","representative","kh-specialty-family-representative","pending","false","Colored Specialty Paper","specialty-paper-series","specialty-paper","250g","包装纸、盒料、插卡"
"KH-SP-SECURE-200-AF-053","specialty-paper","specialty-paper-200g-pe-coating","representative","representative","kh-specialty-family-representative","pending","false","Anti-counterfeit Paper","specialty-paper-series","security-paper","200g","防伪标签、包装纸"
"KH-SP-ANTIS-300-AS-054","specialty-paper","specialty-paper-300g-pe-coating","representative","representative","kh-specialty-family-representative","pending","false","Anti-scratch Paper","specialty-paper-series","scratch-resistant-paper","300g","高端盒面纸、黑卡包装"
"KH-SP-SCENT-180-SC-055","specialty-paper","specialty-paper-180g-pe-coating","representative","representative","kh-specialty-family-representative","pending","false","Scented Paper","specialty-paper-series","fragrance-paper","180g","香氛包装、试香卡"
"KH-SP-SPFLUTE-300G-MT-056","paper-insert","paper-insert-300g-g-pe-coating-g-flute","representative","representative","kh-paper-insert-family-representative","pending","false","Specialty Paper Laminated Corrugated Paper","specialty-paper-series","specialty-paper; corrugated-medium","300g + G 坑","精品坑盒、内托、盒片"
"KH-BX-BURGERBOX-300-MC-001","food-packaging-box","food-packaging-box-250g-350g-greaseproof","representative","representative","kh-food-box-family-representative","pending","false","Burger Box","food-packaging-boxes","food-grade-white-board; kraft-paper","250g-350g","汉堡、炸物、轻食"
"KH-BX-PIZZABOX-E-CR-002","corrugated-fluted-paper","corrugated-fluted-paper-e-f-flute","representative","representative","kh-corrugated-family-representative","pending","false","Pizza Box","food-packaging-boxes","corrugated-paper; kraft-paper","E/F flute","披萨、烘焙食品"
"KH-BX-CAKEBOX-350-LM-003","food-packaging-box","food-packaging-box-300g-400g","representative","representative","kh-food-box-family-representative","pending","false","Cake Box","food-packaging-boxes","food-grade-white-board; specialty-paper","300g-400g","蛋糕、甜品、点心"
"KH-BX-SANDWBOX-300-PR-004","food-packaging-box","food-packaging-box-250g-350g","representative","representative","kh-food-box-family-representative","pending","false","Sandwich Box","food-packaging-boxes","food-grade-white-board; kraft-paper","250g-350g","三明治、卷饼、沙拉"
"KH-BX-TAKEOUT-320-PE-005","food-packaging-box","food-packaging-box-pe-300g-400g-pe-coating-pe","representative","representative","kh-food-box-family-representative","pending","false","Takeaway Food Box","food-packaging-boxes","food-grade-white-board; kraft-paper","300g-400g","热食、冷食、轻餐"
"KH-BX-CHICKEN-350-PR-006","food-packaging-box","food-packaging-box-300g-400g-greaseproof","representative","representative","kh-food-box-family-representative","pending","false","Fried Chicken Box","food-packaging-boxes","food-grade-white-board; kraft-paper","300g-400g","炸鸡、薯条、炸物拼盘"
"KH-BX-TRAY-300-PE-007","paper-insert","paper-insert-250g-350g-pe-coating-pe","representative","representative","kh-paper-insert-family-representative","pending","false","Food Paper Tray","food-packaging-boxes","food-grade-white-board; kraft-paper","250g-350g","小吃、蛋糕、炸物"
"KH-BX-SLEEVE-250-PR-008","food-packaging-box","food-packaging-box-120g-250g-pe-coating","representative","representative","kh-food-box-family-representative","pending","false","Food Paper Sleeve","food-packaging-boxes","food-grade-paper; kraft-paper","120g-250g","杯套、汉堡套、三明治套"
"KH-PD-FOODPAD-080-OIL-009","food-packaging-box","food-packaging-box-40g-120g-pe-coating","representative","representative","kh-food-box-family-representative","pending","false","Food Liner Paper","food-packaging-boxes","greaseproof-paper; food-grade-paper","40g-120g","汉堡、披萨、蛋糕、炸物"
"KH-BX-BAKERY-350-PR-010","food-packaging-box","food-packaging-box-300g-400g","representative","representative","kh-food-box-family-representative","pending","false","Bakery Packaging Box","food-packaging-boxes","food-grade-white-board; kraft-paper","300g-400g","面包、饼干、甜点"
"KH-PD-CAKEPAD-350-MC-011","paper-pad","paper-pad-paper-pads-230g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Cake Pad","paper-pads","white-cardboard; gold-board; food-grade-paper","230g-600g","蛋糕、甜点"
"KH-PD-PIZZAPAD-120-MC-012","paper-pad","paper-pad-paper-pads-80g-250g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Pizza Paper Pad","paper-pads","food-grade-paper; corrugated-paper","80g-250g","披萨、烘焙食品"
"KH-PD-FOODPAD-150-OIL-013","paper-pad","paper-pad-paper-pads-80g-300g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Food Paper Pad","paper-pads","food-grade-white-board; greaseproof-paper","80g-300g","食品隔垫、托盘垫"
"KH-PD-COSPAD-350-AS-014","paper-pad","paper-pad-paper-pads-300g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Cosmetic Paper Pad","paper-pads","white-cardboard; black-board; specialty-paper","300g-600g","瓶罐垫片、展示垫"
"KH-PD-ELECPAD-400-MC-015","paper-pad","paper-pad-paper-pads-300g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Electronics Paper Pad","paper-pads","white-cardboard; corrugated-paper","300g-600g","配件垫片、缓冲隔板"
"KH-PD-GIFTPAD-350-EM-016","paper-pad","paper-pad-paper-pads-300g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Gift Box Inner Pad","paper-pads","white-cardboard; black-board; specialty-paper","300g-600g","礼盒内垫、隔板"
"KH-PD-SHOCKPAD-E-MT-017","paper-pad","paper-pad-paper-pads-e-f-g-flute-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Shock-absorbing Paper Pad","paper-pads","corrugated-paper; composite-paper","E/F/G flute","缓冲垫、隔板"
"KH-PD-ROUND-300-MC-018","paper-pad","paper-pad-paper-pads-120g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Round Paper Pad","paper-pads","white-cardboard; food-grade-paper; specialty-paper","120g-600g","蛋糕垫、瓶罐垫、礼盒垫"
"KH-PD-SQUARE-300-MC-019","paper-pad","paper-pad-paper-pads-120g-600g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Square Paper Pad","paper-pads","white-cardboard; kraft-paper; corrugated-paper","120g-600g","隔板、托垫、内垫"
"KH-PD-DIECUT-300-MC-020","paper-pad","paper-pad-paper-pads-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Custom Die-cut Paper Pad","paper-pads","white-cardboard; specialty-paper; corrugated-paper","按材质确认","特殊形状垫片、展示卡"
"KH-IN-COSINS-400-MC-021","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Cosmetic Paper Insert","paper-inserts","white-cardboard; black-board; specialty-paper","300g-600g","瓶罐、套装、礼盒"
"KH-IN-PERFINS-400-AS-022","paper-insert","paper-insert-paper-inserts-350g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Perfume Paper Insert","paper-inserts","black-board; white-cardboard; specialty-paper","350g-600g","香水瓶、礼盒内托"
"KH-IN-ELECINS-E-MT-023","paper-insert","paper-insert-paper-inserts-e-f-g-flute-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Electronics Paper Insert","paper-inserts","corrugated-paper; white-cardboard","E/F/G flute","耳机、充电器、小家电"
"KH-IN-GIFTINS-400-EM-024","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Gift Box Paper Insert","paper-inserts","white-cardboard; black-board; specialty-paper","300g-600g","礼盒套装、组合产品"
"KH-IN-WINEINS-E-MT-025","paper-insert","paper-insert-paper-inserts-e-f-g-flute-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Wine Box Paper Insert","paper-inserts","corrugated-paper; specialty-paper","E/F/G flute","酒瓶、杯具、礼盒"
"KH-IN-TEAINS-350-PR-026","paper-insert","paper-insert-paper-inserts-300g-500g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Tea Box Paper Insert","paper-inserts","white-cardboard; kraft-paper; specialty-paper","300g-500g","茶罐、茶包、套装"
"KH-IN-FOODINS-300-PE-027","paper-insert","paper-insert-paper-inserts-250g-400g-pe-coating-pe","representative","representative","kh-paper-insert-family-representative","pending","false","Food Paper Insert","paper-inserts","food-grade-white-board; kraft-paper","250g-400g","点心、巧克力、烘焙"
"KH-IN-CORGINS-E-MT-028","paper-insert","paper-insert-paper-inserts-e-f-g-flute-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Corrugated Paper Insert","paper-inserts","corrugated-paper","E/F/G flute","缓冲内托、分隔托"
"KH-IN-WHITEINS-400-MC-029","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","White Cardboard Insert","paper-inserts","white-cardboard","300g-600g","瓶罐内托、礼盒内托"
"KH-IN-SPINS-350-UV-030","paper-insert","paper-insert-paper-inserts-300g-600g-pe-coating-uv","representative","representative","kh-paper-insert-family-representative","pending","false","Specialty Paper Insert","paper-inserts","specialty-paper; black-board","300g-600g","高端礼盒内托"
"KH-SF-DIECUT-350-MC-031","corrugated-fluted-paper","corrugated-fluted-paper","representative","representative","kh-corrugated-family-representative","pending","false","Die-cut Semi-finished Sheet","paper-box-components","white-cardboard; kraft-paper; corrugated-paper","按材质确认","折叠盒片、盒坯"
"KH-SF-CREASE-350-CR-032","white-cardboard","white-cardboard","representative","representative","kh-white-cardboard-family-representative","pending","false","Creased Semi-finished Sheet","paper-box-components","white-cardboard; kraft-paper","按材质确认","折叠盒片、纸套"
"KH-SF-LAMIN-E-MT-033","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-flute","representative","representative","kh-corrugated-family-representative","pending","false","Laminated Semi-finished Sheet","paper-box-components","liner-paper; corrugated-medium","E/F/G flute","盒片、面纸复合材料"
"KH-SF-FLUTESHT-E-CR-034","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-f-g-flute","representative","representative","kh-corrugated-family-representative","pending","false","Corrugated Box Blank","paper-box-components","white-cardboard; food-grade-kraft-paper; coated-white-board; single-sided-kraft-paper; fluted-paper","E/F/G flute","坑盒半成品"
"KH-SF-FOLDBL-350-CR-035","white-cardboard","white-cardboard-250g-450g","representative","representative","kh-white-cardboard-family-representative","pending","false","Folding Box Blank","paper-box-components","white-cardboard; kraft-paper","250g-450g","折叠盒、纸套"
"KH-SF-COLORBL-350-PR-036","corrugated-fluted-paper","corrugated-fluted-paper-300g-450g","representative","representative","kh-corrugated-family-representative","pending","false","Printed Color Box Blank","paper-box-components","white-cardboard","300g-450g","彩盒、展示盒"
"KH-SF-FOODBL-300-OIL-037","white-cardboard","white-cardboard-250g-400g-greaseproof","representative","representative","kh-white-cardboard-family-representative","pending","false","Food Box Blank","paper-box-components","food-grade-white-board; kraft-paper","250g-400g","食品盒、外卖盒"
"KH-SF-GIFTBL-400-EM-038","paper-insert","paper-insert","representative","representative","kh-paper-insert-family-representative","pending","false","Gift Box Semi-finished Sheet","paper-box-components","specialty-paper; white-cardboard; greyboard","按结构确认","礼盒面纸、内托、盒片"
"KH-SF-COSBL-350-AS-039","paper-pad","paper-pad-300g-450g-uv","representative","representative","kh-paper-pad-family-representative","pending","false","Cosmetic Box Semi-finished Sheet","paper-box-components","white-cardboard; black-board; specialty-paper","300g-450g","盒片、内托、垫片"
"KH-SF-SHAPEBL-350-MC-040","corrugated-fluted-paper","corrugated-fluted-paper-pe-coating","representative","representative","kh-corrugated-family-representative","pending","false","Custom Shape Box Blank","paper-box-components","white-cardboard; specialty-paper; corrugated-paper","按结构确认","异形盒、展示盒"
"KH-BX-WHITEBOX-350-PR-041","white-cardboard","white-cardboard-300g-450g","representative","representative","kh-white-cardboard-family-representative","pending","false","White Cardboard Packaging Box","finished-paper-boxes","white-cardboard","300g-450g","彩盒、纸套、展示盒"
"KH-BX-KRAFTBOX-300-PR-042","kraft-paper","kraft-paper-250g-400g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Kraft Paper Box","finished-paper-boxes","kraft-paper; kraft-cardstock","250g-400g","环保纸盒、礼品盒"
"KH-BX-CORBOX-E-CR-043","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-flute-pe-coating","representative","representative","kh-corrugated-family-representative","pending","false","Corrugated Paper Box","finished-paper-boxes","corrugated-paper","E/F/G flute","坑盒、缓冲盒"
"KH-BX-COLORCOR-E-DC-044","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-flute","representative","representative","kh-corrugated-family-representative","pending","false","Colored Corrugated Box","finished-paper-boxes","corrugated-paper","E/F/G flute","彩色坑盒、展示盒"
"KH-BX-COSBOX-350-AS-045","white-cardboard","white-cardboard-300g-450g-uv","representative","representative","kh-white-cardboard-family-representative","pending","false","Cosmetic Packaging Box","finished-paper-boxes","white-cardboard; black-board; specialty-paper","300g-450g","护肤品盒、彩盒、礼盒"
"KH-BX-ELECBOX-E-MT-046","corrugated-fluted-paper","corrugated-fluted-paper","representative","representative","kh-corrugated-family-representative","pending","false","Electronics Packaging Box","finished-paper-boxes","white-cardboard; corrugated-paper; specialty-paper","按结构确认","耳机、配件、小家电"
"KH-BX-FOODBOX-320-PE-047","food-packaging-box","food-packaging-box-250g-400g-pe-coating","representative","representative","kh-food-box-family-representative","pending","false","Food Packaging Box","finished-paper-boxes","food-grade-white-board; kraft-paper","250g-400g","食品盒、纸托、纸套"
"KH-BX-GIFTBOX-400-FG-048","corrugated-fluted-paper","corrugated-fluted-paper","representative","representative","kh-corrugated-family-representative","pending","false","Gift Packaging Box","finished-paper-boxes","white-cardboard; specialty-paper","按结构确认","礼盒、套装盒"
"KH-BX-FOLDBOX-350-CR-049","white-cardboard","white-cardboard-250g-450g","representative","representative","kh-white-cardboard-family-representative","pending","false","Folding Carton","finished-paper-boxes","white-cardboard; kraft-paper","250g-450g","彩盒、纸套、展示盒"
"KH-BX-ONEPIECE-350-MC-050","corrugated-fluted-paper","corrugated-fluted-paper-pe-coating","representative","representative","kh-corrugated-family-representative","pending","false","One-piece Paper Box","finished-paper-boxes","white-cardboard; kraft-paper; corrugated-paper","按结构确认","一体式包装盒"
